iter	Passed	Remaining
0	1	1345
1	2	1247
2	3	1241
3	4	1221
4	6	1196
5	7	1211
6	9	1332
7	11	1382
8	12	1365
9	13	1317
10	14	1309
11	15	1300
12	16	1282
13	17	1267
14	19	1257
15	20	1244
16	21	1239
17	22	1246
18	25	1300
19	26	1295
20	27	1285
21	29	1315
22	30	1307
23	31	1296
24	33	1290
25	34	1278
26	35	1270
27	36	1262
28	38	1279
29	40	1301
30	41	1295
31	42	1291
32	43	1285
33	45	1279
34	46	1272
35	47	1265
36	48	1257
37	49	1251
38	50	1246
39	52	1250
40	54	1270
41	55	1269
42	56	1267
43	58	1263
44	59	1256
45	60	1245
46	60	1236
47	61	1225
48	62	1214
49	63	1203
50	64	1193
51	64	1184
52	66	1194
53	68	1206
54	69	1201
55	70	1194
56	71	1188
57	73	1186
58	74	1182
59	75	1179
60	76	1174
61	77	1170
62	78	1167
63	79	1168
64	82	1185
65	84	1190
66	85	1187
67	86	1188
68	87	1181
69	88	1174
70	89	1167
71	89	1159
72	90	1153
73	91	1146
74	92	1139
75	93	1134
76	94	1133
77	96	1136
78	97	1135
79	98	1130
80	99	1126
81	100	1123
82	101	1119
83	102	1113
84	102	1108
85	103	1102
86	104	1097
87	105	1093
88	106	1088
89	107	1084
90	108	1080
91	109	1080
92	111	1082
93	112	1080
94	113	1077
95	113	1072
96	114	1068
97	115	1067
98	116	1064
99	117	1060
100	118	1056
101	119	1051
102	120	1047
103	121	1049
104	122	1046
105	124	1047
106	125	1046
107	126	1043
108	127	1039
109	128	1036
110	128	1032
111	129	1029
112	130	1026
113	131	1022
114	132	1018
115	133	1015
116	134	1012
117	135	1009
118	135	1006
119	137	1005
120	137	1001
121	139	1002
122	141	1009
123	142	1006
124	143	1003
125	144	1000
126	145	996
127	145	993
128	146	990
129	147	987
130	148	984
131	149	981
132	150	978
133	151	976
134	151	973
135	153	974
136	155	977
137	156	975
138	157	973
139	158	970
140	159	972
141	160	969
142	161	966
143	162	963
144	162	960
145	163	957
146	164	954
147	166	956
148	167	955
149	168	956
150	169	954
151	170	952
152	171	949
153	172	946
154	173	943
155	173	941
156	174	938
157	175	935
158	176	932
159	177	929
160	177	927
161	178	924
162	179	922
163	180	920
164	181	918
165	183	920
166	184	918
167	185	916
168	186	914
169	186	912
170	187	910
171	188	908
172	189	905
173	190	902
174	190	900
175	191	897
176	192	897
177	193	895
178	194	893
179	195	891
180	197	892
181	198	893
182	199	891
183	200	890
184	201	888
185	203	890
186	204	888
187	205	886
188	206	884
189	206	882
190	207	880
191	208	877
192	209	875
193	210	875
194	212	877
195	214	878
196	215	878
197	216	876
198	218	877
199	219	877
200	220	875
201	221	875
202	222	874
203	223	873
204	225	874
205	228	878
206	229	880
207	231	879
208	232	878
209	233	876
210	234	876
211	235	874
212	236	873
213	237	871
214	238	869
215	238	866
216	239	865
217	241	865
218	242	865
219	244	865
220	245	864
221	246	865
222	247	863
223	248	861
224	249	859
225	250	858
226	251	856
227	252	853
228	253	852
229	254	850
230	256	854
231	258	854
232	259	854
233	260	852
234	261	851
235	262	849
236	263	847
237	264	846
238	265	844
239	266	842
240	266	840
241	267	839
242	268	837
243	270	838
244	273	842
245	274	840
246	275	839
247	276	837
248	277	836
249	278	835
250	279	833
251	280	832
252	281	830
253	281	828
254	282	826
255	283	824
256	285	825
257	287	825
258	288	825
259	289	824
260	290	823
261	291	821
262	292	820
263	293	819
264	294	817
265	295	815
266	296	813
267	296	811
268	297	809
269	298	808
270	300	808
271	301	807
272	303	808
273	304	807
274	305	805
275	306	804
276	307	802
277	308	801
278	310	801
279	311	799
280	312	798
281	313	797
282	314	797
283	316	798
284	318	798
285	319	796
286	320	795
287	321	793
288	321	792
289	323	791
290	324	789
291	325	788
292	325	786
293	326	784
294	328	784
295	330	785
296	331	785
297	333	785
298	334	784
299	335	782
300	336	782
301	337	781
302	338	779
303	339	778
304	340	776
305	341	774
306	343	775
307	344	774
308	346	775
309	347	774
310	348	772
311	349	771
312	350	769
313	351	768
314	352	766
315	353	765
316	354	763
317	355	761
318	356	760
319	358	761
320	359	761
321	360	759
322	361	758
323	362	757
324	363	755
325	364	754
326	366	754
327	367	752
328	368	751
329	369	749
330	369	747
331	370	746
332	372	745
333	373	745
334	375	744
335	376	744
336	377	743
337	378	742
338	379	740
339	380	739
340	381	738
341	382	736
342	384	736
343	385	734
344	386	734
345	388	734
346	390	734
347	391	732
348	392	731
349	393	730
350	394	728
351	394	727
352	395	725
353	396	724
354	399	725
355	400	723
356	402	725
357	406	728
358	407	727
359	408	726
360	409	725
361	411	724
362	412	724
363	413	723
364	415	722
365	417	723
366	420	724
367	421	723
368	422	722
369	423	721
370	424	719
371	425	718
372	426	717
373	427	715
374	428	713
375	429	712
376	431	712
377	432	712
378	434	711
379	435	709
380	435	708
381	436	706
382	437	704
383	438	703
384	439	702
385	440	700
386	441	699
387	442	697
388	443	695
389	444	694
390	446	694
391	447	694
392	448	693
393	449	691
394	450	690
395	451	688
396	452	686
397	453	685
398	454	683
399	454	682
400	455	680
401	456	679
402	457	677
403	458	675
404	459	674
405	460	674
406	462	673
407	463	672
408	464	671
409	465	670
410	466	668
411	467	667
412	468	665
413	469	664
414	470	663
415	471	661
416	472	660
417	473	658
418	474	658
419	476	657
420	477	656
421	478	655
422	479	654
423	480	652
424	481	651
425	482	649
426	483	648
427	483	646
428	484	645
429	485	643
430	486	641
431	486	640
432	487	638
433	489	638
434	491	637
435	492	637
436	493	635
437	494	634
438	495	633
439	496	631
440	497	630
441	498	628
442	499	627
443	499	625
444	500	624
445	501	622
446	502	621
447	503	620
448	505	619
449	506	618
450	507	618
451	508	617
452	509	615
453	510	614
454	511	613
455	512	611
456	513	610
457	514	609
458	515	607
459	516	606
460	517	604
461	518	604
462	520	603
463	522	603
464	523	601
465	524	600
466	525	599
467	526	598
468	527	596
469	528	595
470	529	594
471	529	592
472	530	591
473	532	590
474	534	590
475	536	590
476	537	589
477	538	587
478	539	586
479	540	585
480	541	583
481	542	582
482	543	581
483	544	580
484	545	579
485	548	579
486	549	579
487	552	579
488	553	578
489	554	577
490	556	576
491	557	575
492	558	574
493	560	573
494	561	573
495	563	572
496	565	571
497	566	570
498	567	569
499	568	568
500	569	566
501	570	565
502	571	564
503	572	563
504	573	561
505	574	560
506	575	559
507	577	559
508	579	558
509	580	557
510	581	556
511	582	554
512	583	553
513	584	552
514	585	551
515	586	549
516	587	548
517	588	547
518	589	546
519	591	545
520	592	544
521	594	544
522	595	543
523	596	541
524	597	540
525	598	539
526	599	538
527	600	536
528	601	535
529	602	534
530	603	532
531	604	531
